predefinedLabel|word|text|source
space|probe|InSight will be the first probe to focus its investigations predominantly on the interior of the Red Planet.|http://www.bbc.com/news/science-environment-43981895
space|lander|The lander - due to touch down in November - will put seismometers on the surface to feel for "Marsquakes".|http://www.bbc.com/news/science-environment-43981895
space|tremors|These tremors should reveal how the underground rock is layered - data that can be compared with Earth to shed further light on the formation of the planets 4.6 billion years ago.|http://www.bbc.com/news/science-environment-43981895
space|seismic|As seismic waves travel through [Mars] they pick up information along the way; as they travel through different rocks, explained Dr Bruce Banerdt, InSight's principal investigator.|http://www.bbc.com/news/science-environment-43981895
space|investigator|As seismic waves travel through [Mars] they pick up information along the way; as they travel through different rocks, explained Dr Bruce Banerdt, InSight's principal investigator.|http://www.bbc.com/news/science-environment-43981895
space|edging|The US and European space agencies are edging towards a joint mission to bring back rock and soil samples from Mars.|http://www.bbc.com/news/science-environment-43907326
space|joint|The US and European space agencies are edging towards a joint mission to bring back rock and soil samples from Mars.|http://www.bbc.com/news/science-environment-43907326
space|soil|The US and European space agencies are edging towards a joint mission to bring back rock and soil samples from Mars.|http://www.bbc.com/news/science-environment-43907326
space|intent|Nasa and Esa have signed a letter of intent that could lead to the first "round trip" to another planet.|http://www.bbc.com/news/science-environment-43907326
space|feasibility|The move was announced as a meeting in Berlin, Germany, discussed the science goals and feasibility of a Mars Sample Return (MSR) mission.|http://www.bbc.com/news/science-environment-43907326
space|surface|Launched from Baikonur in Kazakhstan, the ExoMars Trace Gas Orbiter (TGO) will study methane and other rare gases in the Red Planet's atmosphere, and also drop a lander on its surface.|http://www.bbc.com/news/science-environment-35799792
space|probe|Controllers received a signal from the probe late on Monday, confirming it was in good health.|http://www.bbc.com/news/science-environment-35799792
finance|roughly|Apple shares have hit an all-time high on news that legendary investor Warren Buffett now has a roughly 5% stake in the tech giant.|http://www.bbc.com/news/business-44012577
finance|protectionism|Over a thousand economists have written to Donald Trump warning his “economic protectionism” and tough rhetoric on trade threatens to repeat the mistakes the US made in the 1930s, mistakes that plunged the world into the Great Depression.|https://www.theguardian.com/us-news/2018/may/03/donald-trump-trade-economists-warning-great-depression
