"user","artist","count"
7,562,6
7,443,5
8,245,4
12,245,4
12,253,4
7,2889,3
7,15723,3
7,42338,3
7,18888,3
7,8169,3
7,18839,3
7,43026,3
1,397,3
7,18841,3
7,499,3
450,38084,3
7,8783,3
1,686,3
7,18859,3
7,483,3
7,15411,3
405,184,3
7,12825,3
1,954,3
1,252,3
7,397,3
7,18840,3
1,483,3
7,18167,3
1,196,3
7,345,3
431,26911,2
337,24062,2
431,43319,2
1616,48666,2
1616,48130,2
431,47490,2
7,5873,2
405,7008,2
124,19700,2
6515,60240,2
7,18881,2
102,549,2
431,37185,2
316,30859,2
405,22959,2
172,36435,2
148,311,2
148,22145,2
148,20034,2
146,6072,2
324,1752,2
148,5752,2
311,22509,2
124,18899,2
1,7100,2
1616,50296,2
405,39697,2
7,59199,2
148,31023,2
313,31793,2
7,8176,2
12,179,2
7,38801,2
7,1662,2
146,20373,2
479,30560,2
6855,65023,2
337,23612,2
7,18893,2
30,19993,2
148,7008,2
432,35094,2
7,15588,2
1,351,2
7,18897,2
1616,48653,2
7,18872,2
316,18824,2
375,33922,2
431,34395,2
187,21342,2
356,22712,2
313,31737,2
7,5523,2
316,1919,2
7,33695,2
7,18884,2
1,685,2
124,15515,2
316,11466,2
148,11448,2
316,20122,2
1,17523,2
416,38407,2
12,405,2
316,35590,2
1616,48134,2
476,3897,2
102,8183,2
7,18849,2
1,37746,2
132,19755,2
124,19699,2
3993,54667,2
1616,48129,2
316,23660,2
375,25102,2
12,351,2
479,62845,2
1,328,2
12,331,2
431,26757,2
375,37912,2
1,646,2
476,12504,2
37,19898,2
316,18771,2
7,23605,2
1616,50299,2
1,605,2
7,18861,2
1,104,2
205,25724,2
7,15905,2
7,18896,2
316,31918,2
416,38405,2
316,1525,2
375,27955,2
148,19993,2
372,27812,2
7,18891,2
405,38866,2
316,38962,2
7,18856,2
7,9517,2
7,38792,2
316,32376,2
148,20385,2
160,20174,2
172,31282,2
416,38404,2
312,28200,2
375,43555,2
7,41941,2
7,20228,2
4033,49125,2
7,18843,2
7,18876,2
1,568,2
124,2784,2
479,62721,2
148,19942,2
476,13975,2
405,39132,2
7,18864,2
148,21791,2
7,10862,2
148,19954,2
316,23578,2
1,110,2
7,16817,2
333,15328,2
1,726,2
1,7276,2
316,26919,2
7,18853,2
7,18889,2
7,18854,2
144,21276,2
479,61506,2
7,2464,2
7,12716,2
431,46880,2
7,10367,2
476,8783,2
316,2412,2
324,24026,2
1,727,2
431,39049,2
30,4177,2
316,23204,2
1,107,2
309,24136,2
1,4823,2
316,5369,2
12,401,2
405,38549,2
84,2775,2
1616,50327,2
30,20109,2
1,7597,2
148,27479,2
12,149,2
7,18867,2
312,26466,2
316,15402,2
1616,47039,2
1,577,2
7,8187,2
1,3154,2
512,51468,2
148,29420,2
1,19902,2
316,2127,2
316,787,2
1616,48125,2
311,26219,2
375,35894,2
375,22354,2
148,19968,2
5775,35345,2
479,57526,2
375,32693,2
1,198,2
186,24282,2
375,26911,2
124,17718,2
476,460,2
431,25164,2
405,18432,2
6430,59717,2
375,33055,2
1,636,2
148,23500,2
7,18892,2
5775,57669,2
316,5032,2
1616,48862,2
148,20645,2
375,22509,2
132,19821,2
37,174,2
1616,48128,2
148,20445,2
7,18883,2
1,640,2
7,7569,2
479,49701,2
316,12806,2
148,4125,2
375,32251,2
30,39569,2
30,53964,2
31,2040,2
148,29382,2
148,31260,2
431,24751,2
1,487,2
316,15262,2
316,33382,2
148,20077,2
148,554,2
375,34069,2
7,66148,2
146,20397,2
30,5163,2
7,18895,2
7,6222,2
316,36703,2
51,16835,2
1,736,2
12,8,2
7,5134,2
186,22912,2
30,18853,2
7,18846,2
416,38583,2
479,40868,2
7,20378,2
405,39698,2
316,39206,2
479,62863,2
479,50757,2
311,26574,2
7,18845,2
316,11578,2
431,39800,2
124,19380,2
352,25969,2
7,18885,2
316,20363,2
405,39282,2
498,43764,2
7,7629,2
316,4144,2
7,527,2
1,318,2
186,24263,2
30,53930,2
324,24052,2
7,18858,2
316,32629,2
186,24284,2
7,18900,2
7,1049,2
7,3577,2
124,360,2
7,4416,2
1616,48651,2
316,23021,2
5775,42188,2
30,14512,2
132,19707,2
7,17681,2
124,19698,2
54,498,2
51,8054,2
7,35823,2
7,16440,2
7,18899,2
372,27807,2
316,30785,2
105,2841,2
316,35417,2
375,37914,2
500,25922,2
7,11298,2
3993,49420,2
7,3852,2
7,321,2
316,32704,2
316,33384,2
431,34152,2
476,4784,2
12,185,2
375,37796,2
12,414,2
148,20300,2
1,649,2
148,27217,2
213,12719,2
7,3296,2
7,11569,2
464,39727,2
7,18855,2
316,23125,2
12,177,2
7,12427,2
7,18852,2
6855,65988,2
316,867,2
316,32733,2
7,22402,2
7,15380,2
7,18842,2
496,41383,2
311,26557,2
1,298,2
146,20395,2
7,18291,2
316,7008,2
7,20714,2
12,161,2
124,2271,2
7,61461,2
30,33245,2
7,18851,2
1,21864,2
42,1060,2
330,20807,2
3993,48921,2
316,12285,2
148,27697,2
7,18873,2
7,18871,2
3993,48800,2
1,337,2
124,456,2
316,29557,2
7,58637,2
7,2075,2
479,49971,2
476,23500,2
431,29770,2
479,50021,2
7,15262,2
431,38124,2
7,6607,2
500,24723,2
1,618,2
7,1087,2
7,15458,2
7,18870,2
316,20088,2
30,1093,2
316,32723,2
7,2613,2
3993,59017,2
7,18844,2
476,22019,2
1616,48139,2
1,4843,2
186,25887,2
30,20122,2
7,2861,2
405,20024,2
148,3689,2
375,26240,2
1,236,2
316,12224,2
7,5223,2
316,31324,2
316,4826,2
333,10956,2
316,8512,2
330,22497,2
416,38408,2
162,19959,2
6124,26911,2
148,17672,2
500,58280,2
316,68702,2
316,36719,2
7,635,2
405,39696,2
7,18868,2
312,26251,2
30,31410,2
7,15555,2
479,44859,2
161,16642,2
375,37797,2
124,17674,2
337,3154,2
132,20847,2
1,4849,2
1,576,2
1,164,2
316,22093,2
1,867,2
1,637,2
316,5545,2
7,3632,2
500,28078,2
330,24660,2
7,18886,2
7738,64110,2
316,30141,2
375,54020,2
46,6367,2
30,15522,2
7,4196,2
37,4823,2
431,29952,2
7,18863,2
7,2817,2
476,67150,2
330,39758,2
1,681,2
316,28443,2
121,4723,2
316,16811,2
356,28562,2
148,170,2
316,39427,2
316,2460,2
12,444,2
405,35524,2
7,18869,2
6490,60060,2
148,21851,2
7,18857,2
316,20162,2
316,4796,2
316,2768,2
124,19701,2
7,18887,2
398,37468,2
431,41403,2
375,26359,2
438,36048,2
356,1322,2
37,19461,2
8100,65749,2
512,42402,2
7,18880,2
1,879,2
7,18878,2
30,3801,2
148,8829,2
146,20321,2
7,20827,2
12,498,2
316,3687,2
330,66224,2
431,26436,2
431,27581,2
1,11390,2
1616,47036,2
124,15573,2
375,32944,2
476,3430,2
146,5547,2
12,334,2
7,17706,2
1,16925,2
501,29944,2
7,18847,2
7,18890,2
316,20907,2
330,25749,2
12,321,2
7,320,2
148,20650,2
7,2964,2
375,28140,2
431,36542,2
37,498,2
7,18850,2
405,33633,2
405,39434,2
51,10972,2
7,18879,2
479,49792,2
432,35097,2
