"id","alias"
7543,7543
863,863
3364,3364
3086,3086
3788,3788
3063,3063
1325,1325
4750,4750
5150,5150
5151,5151
4449,4449
5810,5810
2709,2709
1705,1705
10124,10124
17628,17628
8061,8061
10162,10162
9445,9445
10152,10152
10170,10170
10089,10089
18254,18254
1544,1544
1698,1698
9748,9748
9506,9506
8898,8898
8925,8925
9701,9701
10047,10047
10142,10142
10105,10105
10129,10129
10155,10155
10072,10072
10027,10027
10159,10159
10080,10080
9048,9048
10079,10079
10154,10154
10113,10113
1826,1826
2038,2038
6882,6882
16202,16202
1635,1635
17416,17416
49441,49441
5553,5553
5854,5854
8448,8448
4854,4854
15631,15631
29846,29846
29848,29848
67276,67276
29897,29897
4987,4987
6259,6259
1633,1633
29840,29840
22123,22123
22197,22197
22195,22195
3950,3950
3945,3945
6110,6110
3952,3952
4710,4710
3946,3946
49440,49440
3880,3880
63891,63891
66779,66779
32320,32320
32310,32310
32311,32310
59588,59588
27106,27106
15822,15822
55836,55836
4530,4530
5872,5872
8958,8958
6766,6766
5583,5583
16892,16892
15206,11407
11407,11407
3191,3191
5030,5030
1502,1502
5901,5901
2528,2528
33403,33403
8523,8523
8525,8525
31655,31655
14885,14885
5502,5502
55189,55189
38930,38930
22206,22206
34068,34068
2422,2422
25190,25190
22203,22203
2978,2978
5318,5318
10503,10503
59595,59595
17151,17151
20019,20019
40421,40421
52199,52199
18636,18636
5953,5953
9021,9021
13534,13534
5456,5456
6567,6567
6568,6568
58766,58766
2517,2517
10398,10398
22201,22201
3136,3136
8310,8310
1422,1422
16241,16241
22182,22182
51923,51923
22191,22191
7187,7187
9498,9498
5316,5316
3117,3117
36972,36972
55186,55186
9214,9214
59669,59669
5114,5114
2344,2344
1389,1389
2518,2518
5554,5554
5903,5903
9695,9695
11026,11026
11025,11025
2796,2796
3252,3252
29898,29898
29341,29341
29849,29849
6180,6180
5319,5319
2481,2481
13599,13599
48958,48958
40423,40423
10040,10040
18068,18068
29845,29845
61169,61169
2562,2562
7477,7477
6127,6127
55832,55832
17134,17134
8942,8942
9922,9922
1490,1490
2552,2552
22187,22187
1631,1631
1732,1732
4507,4507
6623,6623
6157,6157
6179,6179
6279,6279
31803,31803
4732,4732
40425,40425
18751,18751
7110,7110
18577,18577
3194,3194
3424,3424
6273,6273
7248,7248
1557,1557
1685,1685
2898,2898
4407,4407
15326,15326
25025,25025
31166,31166
5930,5930
5913,5913
6878,6878
8949,8949
5349,5349
1770,1770
63968,63968
40426,40426
16695,16695
4450,4450
9051,9051
20748,20748
5314,5314
1376,1376
15916,15916
2649,2649
2482,2482
4470,4470
54888,54888
7183,7183
18191,18191
5912,5912
6580,6580
5321,5321
10258,10258
17823,17823
5956,5956
16089,16089
7299,7299
9073,9073
20402,20402
6651,6651
7233,7233
6382,6382
4724,4724
2383,2383
1369,1369
61304,61304
11864,11864
18971,18971
2902,2902
38074,38074
2909,2909
61456,61456
2906,2906
61458,61458
61725,61725
61457,61457
62209,62209
66412,66412
66411,66411
62439,62439
10354,10354
7909,7909
30098,30098
16815,16815
8584,8584
68281,68281
48610,48610
9436,9436
40249,40249
3014,3014
31535,31535
22870,22870
19435,19435
12125,12125
12124,12124
3268,3268
54822,54822
17469,17469
6055,6055
23807,23807
4184,4184
27446,27446
24265,24265
18064,18064
18535,18535
10144,10144
6354,6354
20801,20801
53370,53370
33293,33293
4952,4952
16117,16117
55371,55371
1487,1487
6330,6330
2980,2980
5337,5337
16484,16484
16483,16483
4830,4830
16208,16208
67308,67308
3052,3052
1772,1772
10846,10846
3960,3960
6546,6546
59329,59329
69706,69706
63615,63615
8608,8608
7239,7239
2685,2685
2684,2684
24267,24267
23480,23480
23527,23527
16489,16489
19540,19540
23524,23524
16550,16550
19007,19007
64014,64014
46972,46972
69620,69620
61814,61814
45738,45738
10218,10218
6069,6069
5257,5257
7653,7653
6783,6783
13044,13044
13041,13041
13046,13046
3232,3232
55835,55835
55834,55834
5718,5718
7159,7159
3010,3010
4037,4037
2532,2532
1934,1934
1674,1674
55837,55837
13081,13081
3326,3326
31576,31576
1320,1320
5858,5858
6326,6326
17008,17008
6177,6177
6176,6176
8709,8709
9810,9810
15121,15121
2233,2233
9529,9529
31167,31167
10342,10342
10190,10190
2546,2546
13301,13301
54182,54182
9937,9937
3839,3839
3903,3903
5721,5721
6569,6569
10130,10130
58706,58706
14244,14244
17808,17808
17807,17807
4411,4411
64202,64202
7691,7691
9503,9503
2991,2991
1768,1768
1764,1764
10076,10076
10484,10484
3116,3116
5487,5487
1495,1495
2240,2240
3871,3871
14044,14044
54897,54897
7238,7238
5932,5932
2594,2594
6560,6560
17407,17407
3184,3184
6007,6007
3137,3137
9644,9644
26463,26463
16057,16057
63565,63565
63564,63564
24296,24296
32746,32746
12126,12126
5959,5959
44748,44748
65806,65806
12942,12942
3009,3009
19257,19257
43012,43012
9177,9177
23529,23529
61565,61565
59667,59667
9421,9421
68992,68992
16120,16120
16121,16121
14530,14530
9212,9212
28774,28774
28776,28776
28779,28779
28789,28789
39123,39123
1486,1486
6518,6518
10216,10216
9120,9120
6292,6292
6800,6800
6571,6571
49735,49735
1766,1766
6867,6867
16447,16447
10444,10444
1634,1634
6162,6162
7130,7130
33348,33348
50008,50008
14007,14007
12286,12286
12280,12280
2044,2044
5388,5388
9215,9215
6880,6880
5089,5089
1448,1448
2421,2421
11856,11856
13154,13154
41059,41059
7112,7112
6821,6821
3182,3182
11848,11848
6579,6579
3197,3197
18600,18600
1892,1892
7218,7218
6598,6598
1350,1350
3199,3199
7656,7656
58463,58463
6178,6178
1306,1306
13311,13311
10582,10582
68400,68400
5940,5940
9940,9940
6164,6164
39125,39125
65060,65060
1051,1051
1053,1053
41081,41081
56333,56333
59706,59706
3015,3015
64051,64051
12127,12127
64315,64315
16278,16278
28787,28787
28831,28831
6380,6380
9667,9667
17979,17979
13449,13449
17550,17550
5987,5987
2560,2560
13269,13269
2566,2566
4304,4304
59779,59779
13354,13354
3513,3513
34337,34337
14946,14946
6320,6320
5490,5490
1636,1636
3040,3040
29336,29336
4867,4867
3324,3324
6553,6553
7459,7459
2586,2586
13909,13909
5942,5942
5093,5093
4286,4286
1675,1675
10749,10749
1367,1367
65864,65864
7243,7243
6877,6877
2321,2321
2046,2046
1582,1582
7473,7473
5256,5256
4504,4504
4227,4227
4183,4183
18524,18524
2098,2098
39126,39126
49625,49625
28268,28268
8907,8907
29561,29561
40415,40415
15454,15454
3058,3058
59974,59974
30954,30954
16258,16258
62248,62248
25754,25754
20384,20384
6387,6387
6520,6520
3087,3087
6879,6879
7976,7976
18222,18222
55686,55686
61671,61671
4413,4413
4851,4851
6876,6876
3316,3316
55750,55750
64984,64984
1863,1863
6272,6272
20045,20045
3485,3485
4958,4958
5087,5087
4733,4733
3172,3172
5317,5317
3138,3138
541,541
11684,11684
16839,16839
4290,4290
3760,3760
6957,6957
14912,14912
5311,5311
10460,10460
3759,3759
6632,6632
4309,4309
4087,4087
5103,5103
3195,3195
19544,19544
67307,67307
19543,19543
5382,5382
5939,5939
45960,45960
40416,40416
5446,5446
28157,28157
26180,26180
2378,2378
33344,33344
2933,2933
7263,7263
25418,25418
8934,8934
8908,8908
5739,5739
16127,16127
16129,16129
8545,8545
6644,6644
2449,2449
12350,12350
1712,1712
2992,2992
3436,3436
1762,1762
17990,17990
5392,5392
46760,46760
1327,1327
5894,5894
15696,15696
54157,54157
2372,2372
16136,16136
5322,5322
15350,15350
5850,5850
23693,23693
6981,6981
5587,5587
5980,5980
64077,64077
1552,1552
14546,14546
2573,2573
63566,63566
45640,45640
5294,5294
4531,4531
42008,42008
6588,6588
33724,33724
33723,33723
16262,16262
9960,9960
3011,3011
15871,15871
21091,21091
23474,23474
66946,66946
40417,40417
17632,17632
28262,28262
17999,17999
3311,3311
2550,2550
3463,3463
6570,6570
38928,38928
2102,2102
9061,9061
5292,5292
6168,6168
6047,6047
30230,30230
1875,1875
6170,6170
35852,35852
19056,19056
38967,38967
5293,5293
1814,1814
14043,14043
2730,2730
44909,44909
6031,6031
17091,17091
2474,2474
1393,1393
2551,2551
7113,7113
7132,7132
56951,56951
4415,4415
7182,7182
42134,42134
33295,33295
10017,10017
1909,1909
5258,5258
40377,40377
6152,6152
2979,2979
63419,63419
3414,3414
15733,15733
15736,15736
15738,15738
15739,15739
15734,15734
15740,15740
5352,5352
2834,2834
31398,31398
15874,15874
10019,10019
27529,27529
2793,2793
1459,1459
29340,29340
29344,29344
29901,29901
6130,6130
30221,30221
59035,59035
8495,8495
6315,6315
13221,13221
1753,1753
6285,6285
5282,5282
1795,1795
4231,4231
6774,6774
4467,4467
2583,2583
2962,2962
17479,17479
4424,4424
55904,55904
6271,6271
38313,38313
2294,2294
8128,8128
35421,35421
22613,22613
5955,5955
5954,5954
9519,9519
3065,3065
60570,60570
28784,28784
54310,54310
62045,62045
48945,48945
26591,26591
68882,68882
69659,69659
6875,6875
16580,16580
18769,18769
62794,62794
2689,2689
47056,45992
45992,45992
48128,48128
47036,47036
47037,47037
32200,32200
31702,31702
31701,31701
65858,53902
53902,53902
51996,51996
48129,48129
48125,41442
41442,41442
48130,48130
48131,48131
48133,48133
21987,21987
48134,21987
24152,21987
32385,32385
48139,48139
35372,23583
23583,23583
48855,48855
35490,25878
25878,25878
60575,60575
53916,53916
48859,48859
48860,48860
53956,53956
55367,55367
53958,53958
48865,34156
34156,34156
48866,48866
53961,53961
18694,18694
53962,53962
53963,53963
53965,53965
53967,53967
49833,49833
54733,54733
47065,47065
49834,49834
53970,53970
53972,53972
49836,49836
61587,61587
53974,53974
38603,38603
49838,49838
52009,52009
54026,54026
53968,53968
51995,51995
54027,54027
54120,54120
49871,49871
48632,48632
54121,54121
49857,31156
31156,31156
54122,54122
54142,54142
54126,54126
50992,50992
54124,54124
51465,51465
49875,49875
54129,54129
8373,8373
17161,17161
49969,49969
54130,54130
54144,54144
54132,54132
27702,27702
18783,18783
54133,54133
54146,54146
54134,54134
60650,19835
49873,19835
19835,19835
56498,49979
49979,49979
48126,48126
54511,49980
49980,49980
29826,29826
24878,24878
49982,49982
69784,553
54515,553
553,553
7466,7466
13457,13457
45383,45383
68414,68414
36076,36076
49878,49878
50105,50105
50113,50113
8534,8534
50127,50127
51140,51140
35236,35236
50140,50140
50150,50150
50149,50149
21780,21780
29767,29767
47337,47337
52245,52245
54753,52248
52248,52248
52251,52251
50171,50171
50192,32108
32108,32108
47408,47408
54755,49518
50193,49518
49518,49518
50445,50445
50194,19965
19965,19965
54756,46814
50196,46814
46814,46814
50197,50197
50199,6427
6427,6427
50200,50200
50283,50283
61583,61583
66098,66098
50290,50290
50291,50291
50292,50292
50293,50293
48901,48901
36659,368
31185,368
9733,368
368,368
1147,368
8108,368
13195,13195
50170,50170
56028,2695
2695,2695
28250,28250
28037,28037
50294,50294
44429,44429
40713,40713
3825,3825
65955,65955
30573,30573
30828,30828
30829,30829
30618,30618
30606,30606
59101,59101
14550,14550
65771,65771
50295,50295
7626,7626
31864,31864
50298,50298
50307,50307
50308,50308
50310,50310
53314,53314
50314,50314
50316,35446
35446,35446
50318,50318
50320,50320
50321,50321
49852,36308
48655,36308
36308,36308
50325,50325
48653,225
47181,225
6666,225
225,225
47828,47828
65712,50332
50332,50332
50334,50334
50335,50335
50337,50337
50338,50338
11423,11423
15123,15123
38844,38844
53223,53223
57613,20221
20221,20221
48680,48680
48681,48681
48691,48691
48696,48696
48700,48700
48708,48708
31512,31512
14361,14361
54215,54215
62119,62119
14975,14975
41764,41764
17182,17182
58484,58484
41285,41285
48595,48595
42812,42812
24350,24350
27192,24350
39989,39989
14995,14995
46271,46271
42876,42876
54830,54830
1558,1558
35884,35884
69650,69650
5002,5002
58045,58045
2051,2051
55266,55266
33556,15559
15559,15559
24795,18966
18966,18966
48617,48617
31048,19388
19388,19388
23257,23257
39069,8782
23747,8782
8782,8782
46784,46784
64761,64761
49553,20139
34663,20139
20139,20139
50745,41335
41335,41335
65105,65105
67716,67716
65115,65115
13476,13476
26741,13476
50759,50759
12313,12313
69226,69226
9450,9450
54333,18454
18454,18454
32567,18454
40115,40115
51560,51560
66099,66099
34730,34730
33116,32948
32948,32948
67065,52278
52278,52278
69040,23618
23618,23618
27875,6445
6445,6445
35952,35952
23951,23914
23914,23914
54460,54460
63315,35865
35865,35865
31849,31849
62058,62058
15118,15118
26553,26553
26552,26552
25470,25470
9063,9063
47865,47865
54419,54419
65552,65552
42553,42553
17318,17318
60242,2530
27289,2530
24118,2530
2530,2530
30725,30725
30727,30727
30733,30733
30735,30735
30739,30739
30746,30746
30750,30750
37977,37977
27071,22074
22074,22074
12829,12829
64018,64018
21934,21934
19005,19005
66976,66976
4561,4561
33553,33553
54739,54739
671,671
41879,41879
36439,36439
9002,9002
19063,19063
65334,65334
13458,13458
2719,2719
37465,37465
5677,5677
64876,64876
61433,38788
57627,38788
38788,38788
65775,65775
63059,63059
67833,67833
23722,23722
11062,11062
13849,13849
26498,26498
27795,27795
26705,26705
19137,19137
43405,8800
26337,8800
24932,8800
8800,8800
54546,54546
43670,43670
65990,65990
55673,37796
37796,37796
62123,62123
12450,12450
52437,52437
68151,68151
32686,32686
39915,39915
22464,22464
30841,30841
39389,39389
47173,47173
48018,48018
50035,50035
32605,32605
27472,27472
34049,34049
60525,60525
54338,54338
9704,9704
53943,53943
19213,19213
55164,55164
56106,56106
64476,64476
64483,64483
37687,37687
43102,43102
53824,53824
5689,5689
34051,4149
25402,4149
4149,4149
49667,4332
4332,4332
28664,28664
65576,65576
69275,69275
48194,3456
3456,3456
42539,41662
41662,41662
52934,52934
62178,51332
51332,51332
17757,17757
55081,55081
47950,47950
32360,32360
27730,27730
47169,47169
37772,37772
51174,2856
2856,2856
51173,51173
41351,41351
56552,56552
38775,8376
8376,8376
26282,26282
28565,28565
22432,22432
22444,22444
58237,32569
32569,32569
10769,10769
39794,39794
67398,67398
67401,67401
67400,67400
12549,12549
48378,48378
65973,6805
6805,6805
17984,17984
67656,67656
21037,21037
14216,14216
14631,14631
44732,44732
12893,12893
46033,46033
25149,21969
21969,21969
25146,25146
23594,23594
63184,24355
24355,24355
65606,13209
28639,13209
13209,13209
3102,3102
41041,41041
11513,11513
20580,20580
19264,19264
66360,66360
6825,6825
28881,28881
23487,23487
41248,41248
41246,41246
49864,49864
27596,27596
12343,12343
61870,61870
69918,69918
43025,43025
6653,6653
69776,69776
21722,21722
21939,21939
24613,24613
58780,58780
62828,54417
54417,54417
40777,40777
57600,57600
60224,60224
38331,33993
33993,33993
69322,29241
37071,29241
29241,29241
28033,9211
9211,9211
55901,55901
55902,55902
58832,58832
49762,49762
1319,1319
27160,27160
19270,19270
26900,26900
4170,4170
27883,27883
16415,16415
27145,27145
26876,26876
35046,2891
59260,2891
51535,2891
2891,2891
11570,11570
49554,41854
41854,41854
62442,62442
18053,18053
45636,45636
61786,61786
24558,24558
17739,17739
25468,25468
25608,25608
5832,5832
55760,55760
4489,4489
24240,24240
12108,12108
10899,10899
28453,25465
25465,25465
25460,25460
69441,69441
21927,21927
176,176
69814,69814
48162,48162
28904,28904
51029,51029
50706,50706
67469,67469
61735,61735
57935,57935
49080,49080
61801,61801
32263,32263
32262,32262
14603,14603
1605,1605
30485,30485
58824,58824
58838,58838
32925,32925
55756,55756
41934,41934
39534,18989
54686,18989
54508,18989
54509,18989
18989,18989
41420,27254
27254,27254
53959,53959
50305,50305
50317,50317
49978,49978
50326,50326
52014,52014
68547,68547
31300,9408
9408,9408
64825,64825
9562,9562
43558,43558
58578,58578
28506,28506
2747,2747
7168,7168
27088,27088
60582,12405
49763,12405
12405,12405
25013,25013
16589,16589
46301,46301
31886,31886
25333,19519
19519,19519
22726,22726
11234,11234
34586,34586
66091,66091
51521,51521
10953,10953
54600,54600
48054,4354
4354,4354
66253,66253
52715,52715
41768,41768
36377,36377
36378,36378
16304,16304
16305,16305
21355,21355
6194,6194
5247,5247
15393,15393
2606,2606
22923,22923
13945,13945
56520,56520
31919,31919
13924,13924
27098,27098
12099,12099
12100,12100
28793,28793
63302,63302
69046,69046
41032,9159
13974,9159
9159,9159
13740,13740
2542,2542
59709,59709
35955,35955
43175,43175
20803,20803
20034,20034
48141,48141
9003,9003
1073,1073
6833,6833
27158,27158
15625,15625
49704,49704
57683,57683
4144,4144
61689,4144
33944,4144
28202,4144
69276,69276
31817,31817
55464,286
33110,286
22779,286
286,286
32759,32759
27447,27447
40773,13898
13898,13898
50329,50329
55701,55701
66036,66036
23751,23751
23063,18899
18899,18899
31448,31448
26227,26227
13976,13976
