userId|word|text|source
1|probe|InSight will be the first probe to focus its investigations predominantly on the interior of the Red Planet.|http://www.bbc.com/news/science-environment-43981895
1|lander|The lander - due to touch down in November - will put seismometers on the surface to feel for "Marsquakes".|http://www.bbc.com/news/science-environment-43981895
1|reason|"There's a reason we've never gone back to the moon," but contrary to the premise behind the recently released science-fiction horror movie "Apollo 18," the reason was monetary, not biological.|https://www.nasa.gov/centers/kennedy/about/history/Apollo_18.html
1|reveal|These tremors should reveal how the underground rock is layered - data that can be compared with Earth to shed further light on the formation of the planets 4.6 billion years ago.|http://www.bbc.com/news/science-environment-43981895
1|seismic|As seismic waves travel through [Mars] they pick up information along the way; as they travel through different rocks, explained Dr Bruce Banerdt, InSight's principal investigator.|http://www.bbc.com/news/science-environment-43981895
1|investigator|As seismic waves travel through [Mars] they pick up information along the way; as they travel through different rocks, explained Dr Bruce Banerdt, InSight's principal investigator.|http://www.bbc.com/news/science-environment-43981895
1|edging|The US and European space agencies are edging towards a joint mission to bring back rock and soil samples from Mars.|http://www.bbc.com/news/science-environment-43907326
1|joint|The US and European space agencies are edging towards a joint mission to bring back rock and soil samples from Mars.|http://www.bbc.com/news/science-environment-43907326
1|soil|The US and European space agencies are edging towards a joint mission to bring back rock and soil samples from Mars.|http://www.bbc.com/news/science-environment-43907326
1|intent|Nasa and Esa have signed a letter of intent that could lead to the first "round trip" to another planet.|http://www.bbc.com/news/science-environment-43907326
1|feasibility|The move was announced as a meeting in Berlin, Germany, discussed the science goals and feasibility of a Mars Sample Return (MSR) mission.|http://www.bbc.com/news/science-environment-43907326
1|surface|Launched from Baikonur in Kazakhstan, the ExoMars Trace Gas Orbiter (TGO) will study methane and other rare gases in the Red Planet's atmosphere, and also drop a lander on its surface.|http://www.bbc.com/news/science-environment-35799792
1|probe|Controllers received a signal from the probe late on Monday, confirming it was in good health.|http://www.bbc.com/news/science-environment-35799792
2|roughly|Apple shares have hit an all-time high on news that legendary investor Warren Buffett now has a roughly 5% stake in the tech giant.|http://www.bbc.com/news/business-44012577
2|protectionism|Over a thousand economists have written to Donald Trump warning his “economic protectionism” and tough rhetoric on trade threatens to repeat the mistakes the US made in the 1930s, mistakes that plunged the world into the Great Depression.|https://www.theguardian.com/us-news/2018/may/03/donald-trump-trade-economists-warning-great-depression
2|escalating|The 1,140 economists, including 14 Nobel prize winners, sent the letter on Thursday amid an escalating row over trade between the US and the European Union. Trump has imposed tariffs on steel and aluminium imports but has granted temporary reprieves to the EU, Australia and other countries.|https://www.theguardian.com/us-news/2018/may/03/donald-trump-trade-economists-warning-great-depression
2|surpassed|California’s economy has surpassed that of the United Kingdom to become the world’s fifth largest, according to new federal data made public on Friday.|https://www.theguardian.com/us-news/2018/may/04/california-economy-uk-fifth-largest
2|related|The IMF said the downturn in the global commodity cycle was "exacerbating the long-anticipated decline in resource-related investment" in Australia.|http://www.bbc.com/news/world-australia-32313604
2|thriving|The release of Friday’s data demonstrated the sheer immensity of California’s economy, home to a thriving technology sector in Silicon Valley, the world’s entertainment capital in Hollywood and America’s “salad bowl” in its agricultural heartland.|https://www.theguardian.com/us-news/2018/may/04/california-economy-uk-fifth-largest
2|amid|Hotels and restaurants worst hit amid weaker recovery from cold snap than forecast|https://www.theguardian.com/business/2018/may/03/prospect-of-uk-interest-rate-rise-dims-as-uk-service-sector-struggles
2|amid|Hotels and restaurants worst hit amid weaker recovery from cold snap than forecast|https://www.theguardian.com/business/2018/may/03/prospect-of-uk-interest-rate-rise-dims-as-uk-service-sector-struggles
2|likelihood|Britain’s services sector struggled to bounce back in April from the big freeze in March that brought the economy to a grinding halt, increasing the likelihood of the Bank of England holding interest rates at 0.5% next week.|https://www.theguardian.com/business/2018/may/03/prospect-of-uk-interest-rate-rise-dims-as-uk-service-sector-struggles
3|explicitly|Machine learning is a field of computer science that uses statistical techniques to give computer systems the ability to "learn" (e.g., progressively improve performance on a specific task) with data, without being explicitly programmed|https://en.wikipedia.org/wiki/Machine_learning
3|recognition|Evolved from the study of pattern recognition and computational learning theory in artificial intelligence,[3] machine learning explores the study and construction of algorithms that can learn from and make predictions on data[4] – such algorithms overcome following strictly static program instructions by making data-driven predictions or decisions|https://en.wikipedia.org/wiki/Machine_learning
3|related|Machine learning is closely related to (and often overlaps with) computational statistics, which also focuses on prediction-making through the use of computers.|https://en.wikipedia.org/wiki/Machine_learning
3|artificial|The big picture of artificial intelligence and machine learning — past, present, and future.|https://medium.com/machine-learning-for-humans/why-machine-learning-matters-6164faf1df12
3|overfitting|Learning with an answer key. Introducing linear regression, loss functions, overfitting, and gradient descent.|https://medium.com/machine-learning-for-humans/why-machine-learning-matters-6164faf1df12
3|ensemble|Non-parametric learners: k-nearest neighbors, decision trees, random forests. Introducing cross-validation, hyperparameter tuning, and ensemble models.|https://medium.com/machine-learning-for-humans/why-machine-learning-matters-6164faf1df12
3|buzzwords|Artificial Intelligence (AI) and Machine Learning (ML) are two very hot buzzwords right now, and often seem to be used interchangeably.|https://www.forbes.com/sites/bernardmarr/2016/12/06/what-is-the-difference-between-artificial-intelligence-and-machine-learning/#1013233b2742
3|frequently|Both terms crop up very frequently when the topic is Big Data, analytics, and the broader waves of technological change which are sweeping through our world.|https://www.forbes.com/sites/bernardmarr/2016/12/06/what-is-the-difference-between-artificial-intelligence-and-machine-learning/#1013233b2742
3|analytical|Machine learning is a method of data analysis that automates analytical model building.|https://www.sas.com/en_id/insights/analytics/machine-learning.html
3|computing|Because of new computing technologies, machine learning today is not like machine learning of the past.|https://www.sas.com/en_id/insights/analytics/machine-learning.html
4|claim|Arctic Monkeys claim their sixth consecutive Number 1 on the Official Albums Chart with Tranquility Base Hotel + Casino, and break a chart record in the process|http://www.music-news.com/news/UK/113113/Arctic-Monkeys-smash-vinyl-record-to-score-sixth-UK-Number-1-album
4|guest|Another Late Late Show segment, "Spill Your Guts or Fill Your Guts," finds Corden and a guest essentially playing culinary truth or dare — answering a tough question or eating a disgusting-looking food|http://ultimateclassicrock.com/bryan-adams-carpool-karaoke/
4|reason|No special reason, not to say we would never play those songs but we don’t feel that emotionally connected to that music right now.|https://www.quora.com/Why-dont-the-Red-Hot-Chili-Peppers-play-songs-from-the-album-One-Hot-Minute
4|floppy|I first listened to Fightstar at a time in my life when I had a long floppy fringe, and where listening to music was as much an expression of my pent up, teenage angst as it was something I did for fun.|http://exepose.com/2015/11/07/an-interview-with-fightstar-print/
4|released|Legendary Deep Purple have released their twentieth record and recently embarked on their “last” world tour.|https://rocknrolljournalist.com/2017/05/deep-purple-interview-2017.html
